"rules","support","confidence","coverage","lift","count"
"{Hot Terrestrial,K,Temperate Mini-Neptune} => {Hot Mini-Neptune}",0.000574712643678161,0.666666666666667,0.000862068965517241,3.47826086956522,2
"{Hot Mini-Neptune,Temperate Mini-Neptune,Warm Mini-Neptune} => {K}",0.000574712643678161,0.666666666666667,0.000862068965517241,2.20322886989554,2
"{Hot Terrestrial,Temperate Mini-Neptune,Warm Mini-Neptune} => {G}",0.000574712643678161,0.5,0.00114942528735632,1.09640831758034,2
"{G,Hot Terrestrial,Temperate Mini-Neptune} => {Warm Mini-Neptune}",0.000574712643678161,0.666666666666667,0.000862068965517241,2.26783968719453,2
"{Hot Terrestrial,M,Warm Terrestrial} => {Warm Mini-Neptune}",0.000574712643678161,0.666666666666667,0.000862068965517241,2.26783968719453,2
"{M,Warm Mini-Neptune,Warm Terrestrial} => {Hot Terrestrial}",0.000574712643678161,0.666666666666667,0.000862068965517241,3.07284768211921,2
"{F,Hot Mini-Neptune,Warm Sub-Saturn} => {Hot Terrestrial}",0.000862068965517241,0.5,0.00172413793103448,2.3046357615894,3
"{F,Hot Terrestrial,Warm Sub-Saturn} => {Hot Mini-Neptune}",0.000862068965517241,1,0.000862068965517241,5.21739130434783,3
"{Hot Mini-Neptune,Hot Terrestrial,Warm Sub-Saturn} => {F}",0.000862068965517241,0.6,0.0014367816091954,3.23219814241486,3
"{Hot Terrestrial,Warm Mini-Neptune,Warm Sub-Saturn} => {G}",0.000574712643678161,1,0.000574712643678161,2.19281663516068,2
"{Hot Mini-Neptune,Warm Mini-Neptune,Warm Terrestrial} => {K}",0.000574712643678161,0.5,0.00114942528735632,1.65242165242165,2
"{Hot Mini-Neptune,Warm Mini-Neptune,Warm Terrestrial} => {G}",0.000574712643678161,0.5,0.00114942528735632,1.09640831758034,2
